Player,Tm,PER,BPM,VORP,WS,Team Mar,Year
Truck Robinson,NOJ,15.7,-1.2,0.7,6.5,-1.61,1978
Randy Smith,BUF,19.1,1.6,3.0,7.9,-3.25,1978
Elvin Hayes,WSB,17.1,1.3,2.7,8.3,0.7,1978
Dave Cowens,BOS,18.6,4.0,4.8,10.8,-1.68,1978
Bob McAdoo,NYK,22.0,3.1,4.1,10.9,-0.47,1978
Bernard King,NJN,17.3,0.9,2.3,5.9,-4.89,1978
Artis Gilmore,CHI,23.5,4.2,4.8,11.5,-0.79,1978
David Thompson,DEN,23.2,3.2,4.0,12.7,0.75,1978
Rick Barry,GSW,20.9,2.8,3.7,9.7,0.35,1978
Ricky Sobers,IND,15.4,0.4,1.8,4.8,-2.13,1978
Scott Wedman,KCK,15.9,1.3,2.5,7.8,-1.55,1978
Phil Smith,GSW,16.5,0.4,1.8,6.3,0.35,1978
John Lucas,HOU,16.4,-0.1,1.4,5.2,-3.66,1978
Marvin Webster,SEA,17.0,2.9,3.6,8.7,1.41,1978
Jim Chones,CLE,14.9,0.0,1.5,6.4,0.45,1978
Calvin Murphy,HOU,19.5,0.3,1.7,7.4,-3.66,1978
Wilbur Holland,CHI,14.1,-0.2,1.3,4.4,-0.79,1978
Mickey Johnson,CHI,17.4,1.6,2.6,7.2,-0.79,1978
Larry Kenon,SAS,19.0,1.9,2.8,7.5,2.9,1978
George Gervin,SAS,24.7,3.7,4.1,12.0,2.9,1978
Dan Issel,DEN,21.5,3.5,3.9,11.1,0.75,1978
John Havlicek,BOS,14.3,-0.6,1.0,5.1,-1.68,1978
Bob Wilkerson,DEN,10.0,-1.5,0.4,0.7,0.75,1978
Norm Nixon,LAL,14.1,-0.6,1.0,4.5,2.37,1978
Swen Nater,BUF,16.9,1.2,2.2,6.8,-3.25,1978
Bob Dandridge,WSB,16.1,1.9,2.7,6.8,0.7,1978
Mike Bantom,IND,14.8,0.7,1.9,5.9,-2.13,1978
Doug Collins,PHI,16.9,1.0,2.1,7.6,4.36,1978
Marques Johnson,MIL,21.3,3.0,3.5,10.6,-0.59,1978
Brian Winters,MIL,16.4,-0.6,1.0,5.1,-0.59,1978
Lionel Hollins,POR,14.3,0.6,1.8,5.2,5.56,1978
Kevin Porter,NJN,15.8,-2.0,0.0,4.0,-4.89,1978
Ron Boone,KCK,14.0,-1.4,0.4,2.6,-1.55,1978
Wes Unseld,WSB,14.4,4.1,4.1,6.8,0.7,1978
Walter Davis,PHO,22.1,3.1,3.3,10.1,3.02,1978
Chris Ford,DET,12.9,0.4,1.6,3.6,-1.14,1978
Gus Williams,SEA,18.1,2.1,2.6,7.7,1.41,1978
Eric Money,DET,15.4,-0.9,0.7,3.6,-1.14,1978
M.L. Carr,DET,13.6,1.1,2.0,4.5,-1.14,1978
Gail Goodrich,NOJ,16.2,-0.7,0.8,6.3,-1.61,1978
Don Buse,PHO,12.5,0.9,1.9,6.0,3.02,1978
George McGinnis,PHI,20.3,3.5,3.5,7.9,4.36,1978
Armond Hill,ATL,11.0,-0.9,0.7,2.6,-0.09,1978
Norm Van Lier,CHI,11.7,-0.4,1.1,3.8,-0.79,1978
Campy Russell,CLE,18.2,2.3,2.7,6.6,0.45,1978
Henry Bibby,PHI,11.7,-1.0,0.6,4.7,4.36,1978
Foots Walker,CLE,14.2,2.1,2.6,5.2,0.45,1978
Paul Westphal,PHO,23.8,2.2,2.7,9.8,3.02,1978
Billy Paultz,SAS,19.8,2.6,2.9,8.6,2.9,1978
Dwight Jones,HOU,12.5,-0.6,0.9,3.1,-3.66,1978
Bobby Jones,DEN,19.8,4.6,4.0,8.9,0.75,1978
Julius Erving,PHI,21.7,4.3,3.9,9.1,4.36,1978
Dan Roundfield,IND,18.0,2.6,2.8,6.9,-2.13,1978
Dave Meyers,MIL,15.4,0.0,1.2,5.0,-0.59,1978
Sidney Wicks,BOS,13.9,-0.1,1.2,4.2,-1.68,1978
George Johnson,NJN,11.6,0.0,1.2,2.0,-4.89,1978
Earl Monroe,NYK,16.9,-1.3,0.4,5.8,-0.47,1978
John Gianelli,MIL,11.7,0.0,1.1,3.2,-0.59,1978
Steve Hawes,ATL,16.1,1.5,2.1,6.1,-0.09,1978
Lonnie Shelton,NYK,17.4,2.1,2.4,5.9,-0.47,1978
Tom Henderson,WSB,12.6,-1.2,0.5,3.1,0.7,1978
Bob Lanier,DET,24.8,4.6,3.8,10.1,-1.14,1978
Lou Hudson,LAL,14.2,-0.9,0.6,4.2,2.37,1978
Clifford Ray,GSW,14.9,2.4,2.5,6.9,0.35,1978
Kareem Abdul-Jabbar,LAL,29.2,8.2,5.8,12.1,2.37,1978
Dave Bing,BOS,13.4,-1.6,0.2,3.6,-1.68,1978
Jack Sikma,SEA,13.5,-0.2,1.0,5.4,1.41,1978
Richard Washington,KCK,14.2,-0.5,0.8,3.9,-1.55,1978
Dennis Johnson,SEA,15.6,1.4,1.9,5.8,1.41,1978
John Drew,ATL,23.7,2.9,2.7,8.9,-0.09,1978
Johnny Davis,POR,12.1,-1.0,0.6,4.3,5.56,1978
Austin Carr,CLE,13.6,-1.2,0.4,3.4,0.45,1978
