TeamName,League,Season,Division,Franchise,Team,W,L,%,Year
Toronto Raptors,,(2014-15),Atlantic Division,Toronto Raptors,TOR,49,33,59.80%,2014
Boston Celtics,,(2014-15),Atlantic Division,Boston Celtics,BOS,40,42,48.80%,2014
Brooklyn Nets,,(2014-15),Atlantic Division,Brooklyn Nets,BRK,38,44,46.30%,2014
Philadelphia 76ers,,(2014-15),Atlantic Division,Philadelphia 76ers,PHI,18,64,22.00%,2014
New York Knicks,,(2014-15),Atlantic Division,New York Knicks,NYK,17,65,20.70%,2014
Cleveland Cavaliers,,(2014-15),Central Division,Cleveland Cavaliers,CLE,53,29,64.60%,2014
Chicago Bulls,,(2014-15),Central Division,Chicago Bulls,CHI,50,32,61.00%,2014
Milwaukee Bucks,,(2014-15),Central Division,Milwaukee Bucks,MIL,41,41,50.00%,2014
Indiana Pacers,,(2014-15),Central Division,Indiana Pacers,IND,38,44,46.30%,2014
Detroit Pistons,,(2014-15),Central Division,Detroit Pistons,DET,32,50,39.00%,2014
Portland Trail Blazers,,(2014-15),Northwest Division,Portland Trail Blazers,POR,51,31,62.20%,2014
Oklahoma City Thunder,,(2014-15),Northwest Division,Oklahoma City Thunder,OKC,45,37,54.90%,2014
Utah Jazz,,(2014-15),Northwest Division,Utah Jazz,UTA,38,44,46.30%,2014
Denver Nuggets,,(2014-15),Northwest Division,Denver Nuggets,DEN,30,52,36.60%,2014
Minnesota Timberwolves,,(2014-15),Northwest Division,Minnesota Timberwolves,MIN,16,66,19.50%,2014
Golden State Warriors,,(2014-15),Pacific Division,Golden State Warriors,GSW,67,15,81.70%,2014
Los Angeles Clippers,,(2014-15),Pacific Division,Los Angeles Clippers,LAC,56,26,68.30%,2014
Phoenix Suns,,(2014-15),Pacific Division,Phoenix Suns,PHO,39,43,47.60%,2014
Sacramento Kings,,(2014-15),Pacific Division,Sacramento Kings,SAC,29,53,35.40%,2014
Los Angeles Lakers,,(2014-15),Pacific Division,Los Angeles Lakers,LAL,21,61,25.60%,2014
Atlanta Hawks,,(2014-15),Southeast Division,Atlanta Hawks,ATL,60,22,73.20%,2014
Washington Wizards,,(2014-15),Southeast Division,Washington Wizards,WAS,46,36,56.10%,2014
Miami Heat,,(2014-15),Southeast Division,Miami Heat,MIA,37,45,45.10%,2014
Charlotte Hornets,,(2014-15),Southeast Division,Charlotte Hornets,CHO,33,49,40.20%,2014
Orlando Magic,,(2014-15),Southeast Division,Orlando Magic,ORL,25,57,30.50%,2014
Houston Rockets,,(2014-15),Southwest Division,Houston Rockets,HOU,56,26,68.30%,2014
San Antonio Spurs,,(2014-15),Southwest Division,San Antonio Spurs,SAS,55,27,67.10%,2014
Memphis Grizzlies,,(2014-15),Southwest Division,Memphis Grizzlies,MEM,55,27,67.10%,2014
Dallas Mavericks,,(2014-15),Southwest Division,Dallas Mavericks,DAL,50,32,61.00%,2014
New Orleans Pelicans,,(2014-15),Southwest Division,New Orleans Pelicans,NOP,45,37,54.90%,2014
Toronto Raptors,,(2015-16),Atlantic Division,Toronto Raptors,TOR,56,26,68.30%,2015
Boston Celtics,,(2015-16),Atlantic Division,Boston Celtics,BOS,48,34,58.50%,2015
New York Knicks,,(2015-16),Atlantic Division,New York Knicks,NYK,32,50,39.00%,2015
Brooklyn Nets,,(2015-16),Atlantic Division,Brooklyn Nets,BRK,21,61,25.60%,2015
Philadelphia 76ers,,(2015-16),Atlantic Division,Philadelphia 76ers,PHI,10,72,12.20%,2015
Cleveland Cavaliers,,(2015-16),Central Division,Cleveland Cavaliers,CLE,57,25,69.50%,2015
Indiana Pacers,,(2015-16),Central Division,Indiana Pacers,IND,45,37,54.90%,2015
Detroit Pistons,,(2015-16),Central Division,Detroit Pistons,DET,44,38,53.70%,2015
Chicago Bulls,,(2015-16),Central Division,Chicago Bulls,CHI,42,40,51.20%,2015
Milwaukee Bucks,,(2015-16),Central Division,Milwaukee Bucks,MIL,33,49,40.20%,2015
Miami Heat,,(2015-16),Southeast Division,Miami Heat,MIA,48,34,58.50%,2015
Atlanta Hawks,,(2015-16),Southeast Division,Atlanta Hawks,ATL,48,34,58.50%,2015
Charlotte Hornets,,(2015-16),Southeast Division,Charlotte Hornets,CHO,48,34,58.50%,2015
Washington Wizards,,(2015-16),Southeast Division,Washington Wizards,WAS,41,41,50.00%,2015
Orlando Magic,,(2015-16),Southeast Division,Orlando Magic,ORL,35,47,42.70%,2015
Golden State Warriors,,(2015-16),Pacific Division,Golden State Warriors,GSW,73,9,89.00%,2015
Los Angeles Clippers,,(2015-16),Pacific Division,Los Angeles Clippers,LAC,53,29,64.60%,2015
Sacramento Kings,,(2015-16),Pacific Division,Sacramento Kings,SAC,33,49,40.20%,2015
Phoenix Suns,,(2015-16),Pacific Division,Phoenix Suns,PHO,23,59,28.00%,2015
Los Angeles Lakers,,(2015-16),Pacific Division,Los Angeles Lakers,LAL,17,65,20.70%,2015
Oklahoma City Thunder,,(2015-16),Northwest Division,Oklahoma City Thunder,OKC,55,27,67.10%,2015
Portland Trail Blazers,,(2015-16),Northwest Division,Portland Trail Blazers,POR,44,38,53.70%,2015
Utah Jazz,,(2015-16),Northwest Division,Utah Jazz,UTA,40,42,48.80%,2015
Denver Nuggets,,(2015-16),Northwest Division,Denver Nuggets,DEN,33,49,40.20%,2015
Minnesota Timberwolves,,(2015-16),Northwest Division,Minnesota Timberwolves,MIN,29,53,35.40%,2015
San Antonio Spurs,,(2015-16),Southwest Division,San Antonio Spurs,SAS,67,15,81.70%,2015
Dallas Mavericks,,(2015-16),Southwest Division,Dallas Mavericks,DAL,42,40,51.20%,2015
Memphis Grizzlies,,(2015-16),Southwest Division,Memphis Grizzlies,MEM,42,40,51.20%,2015
Houston Rockets,,(2015-16),Southwest Division,Houston Rockets,HOU,41,41,50.00%,2015
New Orleans Pelicans,,(2015-16),Southwest Division,New Orleans Pelicans,NOP,30,52,36.60%,2015
Boston Celtics,,(2016-17),Atlantic Division,Boston Celtics,BOS,53,29,64.60%,2016
Toronto Raptors,,(2016-17),Atlantic Division,Toronto Raptors,TOR,51,31,62.20%,2016
New York Knicks,,(2016-17),Atlantic Division,New York Knicks,NYK,31,51,37.80%,2016
Philadelphia 76ers,,(2016-17),Atlantic Division,Philadelphia 76ers,PHI,28,54,34.10%,2016
Brooklyn Nets,,(2016-17),Atlantic Division,Brooklyn Nets,BRK,20,62,24.40%,2016
Cleveland Cavaliers,,(2016-17),Central Division,Cleveland Cavaliers,CLE,51,31,62.20%,2016
Milwaukee Bucks,,(2016-17),Central Division,Milwaukee Bucks,MIL,42,40,51.20%,2016
Indiana Pacers,,(2016-17),Central Division,Indiana Pacers,IND,42,40,51.20%,2016
Chicago Bulls,,(2016-17),Central Division,Chicago Bulls,CHI,41,41,50.00%,2016
Detroit Pistons,,(2016-17),Central Division,Detroit Pistons,DET,37,45,45.10%,2016
