Player,Year,PTS,AST,ORB,DRB,TRB,FG,FG%
Shareef Abdur-Rahim,2007.0,793.0,109.0,122.0,276.0,398.0,310.0,0.474
Hassan Adams,2007.0,174.0,13.0,35.0,42.0,77.0,75.0,0.556
Maurice Ager,2007.0,69.0,7.0,1.0,20.0,21.0,22.0,0.314
LaMarcus Aldridge,2007.0,565.0,24.0,144.0,168.0,312.0,241.0,0.503
Malik Allen,2007.0,242.0,16.0,42.0,77.0,119.0,107.0,0.415
Ray Allen,2007.0,1454.0,228.0,57.0,190.0,247.0,505.0,0.43799999999999994
Tony Allen,2007.0,379.0,56.0,35.0,89.0,124.0,133.0,0.514
Rafer Alston,2007.0,1088.0,444.0,29.0,253.0,282.0,383.0,0.375
Lou Amundson,2007.0,16.0,1.0,13.0,15.0,28.0,6.0,0.4
Lou Amundson,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lou Amundson,2007.0,16.0,1.0,13.0,15.0,28.0,6.0,0.4
Alan Anderson,2007.0,98.0,21.0,11.0,21.0,32.0,37.0,0.457
Derek Anderson,2007.0,399.0,133.0,29.0,84.0,113.0,126.0,0.429
Carmelo Anthony,2007.0,1881.0,249.0,143.0,248.0,391.0,691.0,0.47600000000000003
Rafael Araujo,2007.0,72.0,10.0,22.0,44.0,66.0,27.0,0.415
Gilbert Arenas,2007.0,2105.0,443.0,61.0,277.0,338.0,647.0,0.418
Trevor Ariza,2007.0,506.0,65.0,98.0,151.0,249.0,200.0,0.539
Darrell Armstrong,2007.0,457.0,191.0,34.0,101.0,135.0,156.0,0.414
Hilton Armstrong,2007.0,176.0,10.0,58.0,91.0,149.0,68.0,0.544
Carlos Arroyo,2007.0,552.0,202.0,31.0,103.0,134.0,203.0,0.425
Chucky Atkins,2007.0,988.0,346.0,18.0,121.0,139.0,310.0,0.434
James Augustine,2007.0,2.0,2.0,1.0,2.0,3.0,1.0,0.33299999999999996
Kelenna Azubuike,2007.0,291.0,28.0,26.0,68.0,94.0,98.0,0.445
Renaldo Balkman,2007.0,334.0,44.0,97.0,197.0,294.0,139.0,0.505
Marcus Banks,2007.0,221.0,60.0,10.0,28.0,38.0,84.0,0.429
Leandro Barbosa,2007.0,1444.0,317.0,22.0,192.0,214.0,529.0,0.47600000000000003
J.J. Barea,2007.0,78.0,24.0,7.0,18.0,25.0,28.0,0.359
Andrea Bargnani,2007.0,751.0,50.0,52.0,203.0,255.0,267.0,0.42700000000000005
Matt Barnes,2007.0,746.0,156.0,91.0,259.0,350.0,275.0,0.43799999999999994
Andre Barrett,2007.0,8.0,7.0,1.0,4.0,5.0,4.0,0.5
Earl Barron,2007.0,65.0,5.0,19.0,22.0,41.0,24.0,0.289
Brent Barry,2007.0,635.0,138.0,17.0,143.0,160.0,202.0,0.475
Brandon Bass,2007.0,42.0,3.0,13.0,30.0,43.0,15.0,0.341
Maceo Baston,2007.0,138.0,16.0,21.0,53.0,74.0,49.0,0.645
Esteban Batista,2007.0,20.0,4.0,7.0,23.0,30.0,8.0,0.5
Tony Battie,2007.0,404.0,35.0,92.0,252.0,344.0,176.0,0.489
Shane Battier,2007.0,829.0,175.0,67.0,271.0,338.0,292.0,0.446
Charlie Bell,2007.0,1110.0,247.0,57.0,181.0,238.0,426.0,0.43700000000000006
Raja Bell,2007.0,1143.0,196.0,48.0,203.0,251.0,410.0,0.43200000000000005
Mike Bibby,2007.0,1403.0,388.0,39.0,224.0,263.0,471.0,0.40399999999999997
Andris Biedrins,2007.0,783.0,88.0,251.0,511.0,762.0,348.0,0.599
Chauncey Billups,2007.0,1191.0,502.0,23.0,214.0,237.0,348.0,0.42700000000000005
Steve Blake,2007.0,528.0,408.0,21.0,148.0,169.0,209.0,0.41100000000000003
Steve Blake,2007.0,120.0,84.0,7.0,38.0,45.0,45.0,0.349
Steve Blake,2007.0,408.0,324.0,14.0,110.0,124.0,164.0,0.43200000000000005
Will Blalock,2007.0,25.0,17.0,6.0,9.0,15.0,9.0,0.3
Andray Blatche,2007.0,206.0,39.0,77.0,114.0,191.0,86.0,0.43700000000000006
Mark Blount,2007.0,1010.0,67.0,136.0,369.0,505.0,427.0,0.509
Keith Bogans,2007.0,298.0,59.0,16.0,77.0,93.0,99.0,0.40399999999999997
Andrew Bogut,2007.0,809.0,198.0,168.0,416.0,584.0,348.0,0.5529999999999999
Matt Bonner,2007.0,275.0,22.0,64.0,92.0,156.0,106.0,0.447
Josh Boone,2007.0,254.0,10.0,64.0,112.0,176.0,99.0,0.579
Calvin Booth,2007.0,69.0,18.0,27.0,54.0,81.0,31.0,0.47
