Year,League,Series,Date,Winner Team,Winner,Loser Team,Loser,Favorite,Underdog
2020,NBA,Eastern Conf First Round,Aug 18 - Aug 29 2020,Milwaukee Bucks (1),4,Orlando Magic (8),1,,
2020,NBA,Eastern Conf First Round,Aug 17 - Aug 23 2020,Toronto Raptors (2),4,Brooklyn Nets (7),0,,
2020,NBA,Eastern Conf First Round,Aug 17 - Aug 23 2020,Boston Celtics (3),4,Philadelphia 76ers (6),0,,
2020,NBA,Eastern Conf First Round,Aug 18 - Aug 24 2020,Miami Heat (5),4,Indiana Pacers (4),0,,
2020,NBA,Western Conf First Round,Aug 18 - Aug 29 2020,Los Angeles Lakers (1),4,Portland Trail Blazers (8),1,,
2020,NBA,Western Conf First Round,Aug 17 - Aug 30 2020,Los Angeles Clippers (2),4,Dallas Mavericks (7),2,,
2020,NBA,Western Conf First Round,Aug 17 - Sep 1 2020,Denver Nuggets (3),4,Utah Jazz (6),3,,
2020,NBA,Western Conf First Round,Aug 18 - Sep 2 2020,Houston Rockets (4),4,Oklahoma City Thunder (5),3,,
2020,NBA,Eastern Conf Semifinals,Aug 30 - Sep 11 2020,Boston Celtics (3),4,Toronto Raptors (2),3,,
2020,NBA,Eastern Conf Semifinals,Aug 31 - Sep 8 2020,Miami Heat (5),4,Milwaukee Bucks (1),1,,
2020,NBA,Western Conf Semifinals,Sep 3 - Sep 15 2020,Denver Nuggets (3),4,Los Angeles Clippers (2),3,,
2020,NBA,Western Conf Semifinals,Sep 4 - Sep 12 2020,Los Angeles Lakers (1),4,Houston Rockets (4),1,,
2020,NBA,Eastern Conf Finals,Sep 15 - Sep 27 2020,Miami Heat (5),4,Boston Celtics (3),2,,
2020,NBA,Western Conf Finals,Sep 18 - Sep 26 2020,Los Angeles Lakers (1),4,Denver Nuggets (3),1,,
2020,NBA,Finals,Sep 30 - Oct 11 2020,Los Angeles Lakers (1),4,Miami Heat (5),2,,
2019,NBA,Eastern Conf First Round,Apr 14 - Apr 22 2019,Milwaukee Bucks (1),4,Detroit Pistons (8),0,MIL (-3500),DET (+1750)
2019,NBA,Eastern Conf First Round,Apr 13 - Apr 23 2019,Toronto Raptors (2),4,Orlando Magic (7),1,TOR (-1200),ORL (+775)
2019,NBA,Eastern Conf First Round,Apr 13 - Apr 23 2019,Philadelphia 76ers (3),4,Brooklyn Nets (6),1,PHI (-600),BRK (+450)
2019,NBA,Eastern Conf First Round,Apr 14 - Apr 21 2019,Boston Celtics (4),4,Indiana Pacers (5),0,BOS (-465),IND (+370)
2019,NBA,Western Conf First Round,Apr 13 - Apr 26 2019,Golden State Warriors (1),4,Los Angeles Clippers (8),2,GSW (-15000),LAC (+6000)
2019,NBA,Western Conf First Round,Apr 13 - Apr 27 2019,Denver Nuggets (2),4,San Antonio Spurs (7),3,DEN (-270),SAS (+230)
2019,NBA,Western Conf First Round,Apr 14 - Apr 23 2019,Portland Trail Blazers (3),4,Oklahoma City Thunder (6),1,OKC (-165),POR (+145)
2019,NBA,Western Conf First Round,Apr 14 - Apr 24 2019,Houston Rockets (4),4,Utah Jazz (5),1,HOU (-310),UTA (+255)
2019,NBA,Eastern Conf Semifinals,Apr 28 - May 8 2019,Milwaukee Bucks (1),4,Boston Celtics (4),1,MIL (-360),BOS (+300)
2019,NBA,Eastern Conf Semifinals,Apr 27 - May 12 2019,Toronto Raptors (2),4,Philadelphia 76ers (3),3,TOR (-290),PHI (+245)
2019,NBA,Western Conf Semifinals,Apr 28 - May 10 2019,Golden State Warriors (1),4,Houston Rockets (4),2,GSW (-280),HOU (+240)
2019,NBA,Western Conf Semifinals,Apr 29 - May 12 2019,Portland Trail Blazers (3),4,Denver Nuggets (2),3,DEN (-145),POR (+125)
2019,NBA,Eastern Conf Finals,May 15 - May 25 2019,Toronto Raptors (2),4,Milwaukee Bucks (1),2,MIL (-270),TOR (+230)
2019,NBA,Western Conf Finals,May 14 - May 20 2019,Golden State Warriors (1),4,Portland Trail Blazers (3),0,GSW (-550),POR (+425)
2019,NBA,Finals,May 30 - Jun 13 2019,Toronto Raptors (2),4,Golden State Warriors (1),2,GSW (-270),TOR (+230)
2018,NBA,Eastern Conf First Round,Apr 14 - Apr 27 2018,Toronto Raptors (1),4,Washington Wizards (8),2,TOR (-630),WAS (+465)
2018,NBA,Eastern Conf First Round,Apr 15 - Apr 28 2018,Boston Celtics (2),4,Milwaukee Bucks (7),3,BOS (-150),MIL (+130)
2018,NBA,Eastern Conf First Round,Apr 14 - Apr 24 2018,Philadelphia 76ers (3),4,Miami Heat (6),1,PHI (-500),MIA (+400)
2018,NBA,Eastern Conf First Round,Apr 15 - Apr 29 2018,Cleveland Cavaliers (4),4,Indiana Pacers (5),3,CLE (-600),IND (+450)
2018,NBA,Western Conf First Round,Apr 15 - Apr 25 2018,Houston Rockets (1),4,Minnesota Timberwolves (8),1,HOU (-3000),MIN (+1500)
